name,category,price,description,image
California Roll,Sushi Roll,5.18,"Crab Mix, Mayo, Cucumber, Avocado",https://cdn.doordash.com/media/photos/e820e6e1-3366-4aa4-8e0c-62926185fa1e-retina-large-jpeg
Calamari Salad,Salads,8.63,,images/Salads.jpg
Salmon Skin Salad,Salads,8.63,,images/Salads.jpg
Spicy California Roll,Sushi Roll,5.18,"Crab Mix, Mayo, Cucumber, Avocado, Spicy Sauce Blend",images/SushiRoll.jpg
Vegetable Roll,Sushi Roll,5.18,"Cucumber, Avocado, Kaiware Sprouts, Pickled Yamagobo",images/SushiRoll.jpg
Cucumber Roll,Sushi Roll,5.18,Cucumber,images/SushiRoll.jpg
Avocado Roll,Sushi Roll,5.18,Avocado,images/SushiRoll.jpg
Inari Roll (3pc),Sushi Roll,5.18,"Fried Tofu Skin, Sweet Soy Flavored, Sushi Rice",images/SushiRoll.jpg
Tuna Roll,Sushi Roll,6.9,"Freshwater Tuna, Cucumber",images/SushiRoll.jpg
Spicy Tuna Roll,Sushi Roll,6.9,"Freshwater Tuna, Cucumber, Spicy Sauce Blend",images/SushiRoll.jpg
Salmon Roll,Sushi Roll,6.9,"Freshwater Salmon, Cucumber",images/SushiRoll.jpg
Salmon Avocado Roll,Sushi Roll,6.9,"Freshwater Salmon, Avocado",images/SushiRoll.jpg
Philly Roll,Sushi Roll,6.9,"Freshwater Salmon, Cucumber, Cream Cheese",images/SushiRoll.jpg
Crunchy Roll (5pc),Sushi Roll,6.9,"Shrimp Tempura, Cucumber, Avocado, Kaiware Sprouts, Spicy Mayo",images/SushiRoll.jpg
Veggie Crunchy Roll (5pc),Sushi Roll,6.9,"Vegetable Tempura, Cucumber, Avocado, Kaiware Sprouts, Spicy Mayo",images/SushiRoll.jpg
Eel Roll,Sushi Roll,8.05,"Freshwater Eel, Cucumber, Eel Sauce",images/SushiRoll.jpg
Spicy Eel Roll,Sushi Roll,8.05,"Freshwater Eel, Cucumber, Eel Sauce, Spicy Sauce Blend",images/SushiRoll.jpg
Eel Avocado Roll,Sushi Roll,8.05,"Freshwater Eel, Eel Sauce, Avocado",images/SushiRoll.jpg
Salmon Crunchy Roll,Premium Sushi,10.35,"Salmon Tempura, Cucumber, Avocado, Kaiware Sprouts, Spicy Mayo",images/PremiumSushi.jpg
Salmon Skin Roll (5pc),Premium Sushi,10.35,"Salmon Skin, Cucumber, Avocado, Kaiware Sprouts, Yamagoboo",images/PremiumSushi.jpg
California Tempura Roll,Premium Sushi,10.35,"California Roll, deep fried with Tempura Batter",images/PremiumSushi.jpg
Super California Roll,Premium Sushi,10.35,"Snow Crab meat, Mayo, Cucumber, Avocado",images/PremiumSushi.jpg
Eel Tempura Roll,Premium Sushi,10.35,"Eel Avocado Roll, Deep fried with Tempura Batter",images/PremiumSushi.jpg
Alaskan Roll,Premium Sushi,10.35,Slices of Freshwater Salmon and Avocado over California roll,images/PremiumSushi.jpg
Hawaiian Roll,Premium Sushi,10.35,Slices of Freshwater Tuna and Avocado over Spicy Tuna Roll,images/PremiumSushi.jpg
